,evr,mse,evcs,r2,optimal,steps
0,0.03461689688080463,0.05965733089923505,0.06057645271355464,0.008476611267542136,14,1
1,0.02236161218059956,0.057637888673630525,0.0829380648941542,0.01734030380698034,14,2
2,0.011464563719536698,0.05634717367904202,0.09440262861369089,0.02065467020074741,14,3
3,0.008644864943217806,0.05573518787119549,0.1030474935569087,0.02300895037183521,14,4
4,0.005700980052293877,0.055287500533359325,0.10874847360920258,0.025033040163687327,14,5
5,0.005353590808461054,0.05502043349187619,0.11410206441766363,0.02616848694341572,14,6
6,0.003976775404141083,0.05477202019403429,0.11807883982180471,0.02737069552298187,14,7
7,0.0034238542072434616,0.05461542874662485,0.12150269402904817,0.02817158915637298,14,8
8,0.003228777662741221,0.054499059012064276,0.1247314716917894,0.028608361112279525,14,9
9,0.002618186483812933,0.05439761795297226,0.12734965817560234,0.02912804698612327,14,10
10,0.0024709508679882975,0.054340309164334445,0.12982060904359063,0.029315356136724174,14,11
11,0.002010266582790377,0.054284375692048414,0.13183087562638102,0.029439923468995332,14,12
12,0.0019663072686158336,0.05427127795707695,0.13379718289499684,0.029391429961893364,14,13
13,0.0018965692186537096,0.05426117957488328,0.13569375211365056,0.02933672746823273,14,14
14,0.0016353531302934318,0.0542682137967962,0.13732910524394398,0.029203362141968107,14,15
15,0.00161411817187344,0.054303059467197407,0.1389432234158174,0.02897142265926059,14,16
16,0.0015711632270881092,0.05433819958166503,0.14051438664290553,0.028750334464040888,14,17
17,0.0014998307117689536,0.054377803235480235,0.14201421735467448,0.02846879648275697,14,18
18,0.0014889622285117513,0.05443073943920407,0.14350317958318623,0.028141159889757995,14,19
19,0.001466230888745601,0.05448465169140725,0.14496941047193182,0.027819469881144285,14,20
20,0.0014553918585274211,0.054541736874127604,0.14642480233045924,0.02744515701429002,14,21
21,0.0014396902284082211,0.05460311899376675,0.14786449255886747,0.027045482284020882,14,22
22,0.001438783982310002,0.05467769335374912,0.14930327654117748,0.026633686066695306,14,23
23,0.001416838396933838,0.05475139512176002,0.15072011493811133,0.026214456884414396,14,24
24,0.0013990805543770027,0.054819834393740545,0.15211919549248834,0.02581982188832286,14,25
25,0.0013948471673777575,0.054895089855255826,0.1535140426598661,0.0253971794246562,14,26
26,0.0013899295961378553,0.054965114122586006,0.15490397225600394,0.02498836080371027,14,27
27,0.0013789244333809098,0.05503865417575877,0.15628289668938486,0.02456843221960385,14,28
28,0.0013686172131536368,0.05510839671675413,0.1576515139025385,0.024165450021447342,14,29
29,0.0013667338300480266,0.05518010182989003,0.15901824773258655,0.023726709485566974,14,30
30,0.0013558173770085978,0.05525526254317649,0.16037406510959515,0.023280819452306315,14,31
31,0.0013505838738864088,0.055329332496684196,0.16172464898348154,0.022871039034855038,14,32
32,0.0013398484710612248,0.05539722841104128,0.16306449745454277,0.02245468649766727,14,33
33,0.0013351414938713828,0.05546820530534255,0.16439963894841414,0.022027074750057465,14,34
34,0.0013295271364560334,0.055541531491015726,0.16572916608487018,0.021599857430067263,14,35
35,0.0013226509544895942,0.05561128075538063,0.16705181703935978,0.02118699842359318,14,36
36,0.0013196142348712021,0.055681031920767,0.168371431274231,0.020761986983843937,14,37
37,0.0013137391119249467,0.05575050614444031,0.16968517038615594,0.020341437407861578,14,38
38,0.001311939442551182,0.055817762380667546,0.1709971098287071,0.019930406552484296,14,39
39,0.0013044320339484117,0.055887384246815414,0.17230154186265553,0.01951493174813776,14,40
40,0.0013018169722169906,0.055954897572823306,0.17360335883487252,0.01911596175816924,14,41
41,0.0012929223464235545,0.05601667194846939,0.17489628118129608,0.018741155310851416,14,42
42,0.0012865303393931782,0.05608511594667794,0.17618281152068926,0.018330355965467393,14,43
43,0.0012743850875013404,0.05615208025028602,0.1774571966081906,0.017918559274492523,14,44
44,0.001270309193708847,0.05622660158742576,0.17872750580189944,0.01746174358498982,14,45
45,0.0012663187447701505,0.056293511391015544,0.1799938245466696,0.01704434362711895,14,46
46,0.001262759568736985,0.0563662882684726,0.18125658411540657,0.016617932487472245,14,47
47,0.0012527463602786766,0.05643390112372045,0.18250933047568524,0.016194562958174518,14,48
48,0.0012479654411334334,0.0565003063883888,0.18375729591681866,0.015792695136604692,14,49
49,0.0012394886732185419,0.05656797009981984,0.1849967845900372,0.015379730156636923,14,50
50,0.0012350544481040792,0.05663776628563246,0.18623183903814128,0.014951918339193635,14,51
51,0.0012343813085074957,0.05670515202144157,0.18746622034664878,0.01452710014448482,14,52
52,0.0012289546129905394,0.05677453910900504,0.18869517495963933,0.014099496821972788,14,53
53,0.0012207026067810756,0.05683775270432341,0.18991587756642042,0.013692462226753882,14,54
54,0.0012204663609635623,0.05690419682409599,0.191136343927384,0.013281188164537019,14,55
55,0.0012168537216996438,0.056971175351454205,0.19235319764908362,0.012863808571743577,14,56
56,0.0012094070018369896,0.05703724149031153,0.19356260465092062,0.01244756725820929,14,57
57,0.001206562540709558,0.0571068906059407,0.19476916719163018,0.012011404121212635,14,58
58,0.0012014348018328411,0.05717157409427666,0.19597060199346303,0.011598459609238118,14,59
59,0.0011992368014932516,0.057233527582902614,0.19716983879495628,0.0111950272846608,14,60
60,0.0011939350150021856,0.05729844243401311,0.19836377380995845,0.010793707991662517,14,61
61,0.0011865263635632247,0.0573652915852832,0.19955030017352168,0.010373980579911412,14,62
62,0.001184095603528043,0.057426157686292355,0.2007343957770497,0.00997015298574099,14,63
63,0.0011771321324268458,0.057487511361490065,0.20191152790947656,0.009555771255947133,14,64
64,0.0011732730224964655,0.05755341943892774,0.203084800931973,0.00913300588653509,14,65
65,0.0011642887776316803,0.05762003010619893,0.20424908970960468,0.008714572567847922,14,66
66,0.0011637806513443735,0.057685140416675884,0.20541287036094905,0.008304066856332433,14,67
67,0.001158507512025767,0.0577470168701567,0.2065713778729748,0.00789938273170957,14,68
68,0.001149882240740727,0.057810738433497384,0.20772126011371553,0.00748834054211872,14,69
69,0.001146849461957739,0.057871994255247076,0.20886810957567326,0.00708847443121825,14,70
70,0.0011417614021898578,0.05793505487847076,0.2100098709778631,0.006682993068704789,14,71
71,0.0011364825821617588,0.05800049070732417,0.21114635356002487,0.006259683111972649,14,72
72,0.0011325284326155554,0.058060948649431184,0.21227888199264042,0.005856287956127772,14,73
73,0.0011291577140282796,0.05812638894427077,0.2134080397066687,0.005422764386670368,14,74
74,0.0011230443563926002,0.05819081302929403,0.2145310840630613,0.0049983298880343485,14,75
75,0.0011189269449750963,0.05825675005397557,0.21565001100803638,0.0045612209052724815,14,76
76,0.001112361736392172,0.05831689286932193,0.21676237274442856,0.004152469375883621,14,77
77,0.0011103439741961313,0.058379146741804784,0.21787271671862468,0.0037450379982741275,14,78
78,0.0011064488099700068,0.05844080421165765,0.2189791655285947,0.0033313415397894608,14,79
79,0.0011027288538828076,0.05850196600955709,0.2200818943824775,0.0029119769716274345,14,80
80,0.0011018008725013778,0.058560008213052336,0.22118369525497888,0.002508522113686913,14,81
81,0.0010954482904040957,0.05861918340596962,0.22227914354538297,0.0021089123768126307,14,82
82,0.001091927554075776,0.058682620101312574,0.22337107109945875,0.0016890976830109198,14,83
83,0.0010848084240333172,0.05874447326847923,0.22445587952349208,0.001252238435130183,14,84
84,0.0010839314887967327,0.05880310852702427,0.22553981101228882,0.0008489575131078132,14,85
85,0.0010802132246867096,0.05886127507466394,0.22662002423697553,0.0004309480856394041,14,86
86,0.0010726649546251587,0.058919212743354134,0.22769268919160068,3.969501787918437e-05,14,87
87,0.0010680390975057236,0.05898012872832255,0.2287607282891064,-0.0003896427119939199,14,88
88,0.001061850609794567,0.05903939022963769,0.22982257889890098,-0.0008067337576341511,14,89
89,0.001057699569264775,0.0590966546844106,0.23088027846816575,-0.00120757695427145,14,90
90,0.001052996135506399,0.05915899052347989,0.23193327460367216,-0.0016274957529904103,14,91
91,0.0010461675055319544,0.059216111098248446,0.23297944210920413,-0.0020264576658973106,14,92
92,0.0010443387308561305,0.059271972277152564,0.23402378084006026,-0.002427584957294035,14,93
93,0.0010380838401849617,0.05933173993366704,0.23506186468024523,-0.002842024078463039,14,94
94,0.001034099898775769,0.0593894828795043,0.236095964579021,-0.0032483762949731317,14,95
95,0.0010313659400390297,0.05944577694936169,0.23712733051906001,-0.003646610127935785,14,96
96,0.00102656063012024,0.05950165495903036,0.23815389114918026,-0.00403390497384808,14,97
97,0.0010171920893147673,0.05955884135423272,0.23917108323849504,-0.00442639145648743,14,98
98,0.0010105546708671117,0.05961420361819422,0.24018163790936214,-0.0048256781627351985,14,99
